SName,Lyric,Artist,Songs,Popularity,Genre,Genres
No Cinema,"Dentro do cinema minha paixão é um problema. Dentro do cinema o lanterninha também. Não tem pena de você. Será que ele já amou alguém. Eu não sei. Você fala de migalhas. Coisas tolas e pequenas. Diz que gosta de cinema e odeia o teatro. E acha os homens chatos. Será que ela já amou alguém. Eu não sei. Amar você é sempre o mesmo ritual. Meu Deus, é uma necessidade vital",Capital Inicial,196,8.1,Rock,Pop/Rock; Rock; Rock Alternativo; Punk Rock; MPB; Pop/Punk; Gospel/Religioso; Clássico; New Wave; Gótico; Funk Carioca; Folk; Post-Rock; Psicodelia; Reggae; Classic Rock; Progressivo; Surf Music; K-Pop/K-Rock; Sertanejo; Hard Rock; Electronica; Emocore; J-Pop/J-Rock; Pagode; Funk; Pós-Punk
Parado no Ar,"Algo estranho acontece, eu não sei o que é. Parado no ar, de uma noite, de uma noite qualquer. Estrelas movem pelo chão, se movem na chuva. Elas brilham, elas brilham, brilham em vão. Fingindo ser o fim de um dia perfeito. Como a trilha sonora de um filme que. Nunca foi feito. Eu vou cair e voltar. Todo o mundo tem. Uma história triste pra contar. Vou acertar e errar todo o mundo tem. Uma história triste pra contar. Onde estamos. Se voltamos a perder a razão. Renascendo das cinzas. Do meu, do seu coração. Por teimas, me sinto igual. Velhos não de idade. Como a vida, como a vida. Vida real. Fingindo ser o fim de um dia perfeito. Como a trilha sonora de um filme que. Nunca foi feito. Eu vou cair e voltar. Todo o mundo tem. Uma história triste pra contar. Vou acertar e errar todo o mundo tem. Uma história triste pra contar. É o preço a pagar. Todo o mundo tem. Uma história triste pra contar. Não adianta gritar. Todo o mundo tem. Uma história triste pra contar. Eu vou cair e voltar. Todo o mundo tem. Uma história triste pra contar. Vou acertar e errar todo o mundo tem. Uma história triste pra contar",Capital Inicial,196,8.1,Rock,Pop/Rock; Rock; Rock Alternativo; Punk Rock; MPB; Pop/Punk; Gospel/Religioso; Clássico; New Wave; Gótico; Funk Carioca; Folk; Post-Rock; Psicodelia; Reggae; Classic Rock; Progressivo; Surf Music; K-Pop/K-Rock; Sertanejo; Hard Rock; Electronica; Emocore; J-Pop/J-Rock; Pagode; Funk; Pós-Punk
Enforcadinho Por Brigite,"Bis (brigite, brigite não faça assim. (brigite, brigite tem dó de mim. todo dia, toda noite, minha vida é recordado. sonho, sonho sempre com você. seus abraços eu nunca esqueci. beijo igual ao seu eu nunca vi. seu sorriso lindo com a flor. sempre convidando para o amor. se eu penso em seu carinho. se eu penso em seu bejinho. eu acabo enforcadinho por você. Bis (brigite, brigite não faça assim. (brigite, brigite tem dó de mim. até o sol já está apaixonado. veio bem cedinho me dizer. e a lua cheia de ciúmes. chora tritezinhas lá no céu. coitado do sol, pois agora está no. dos bobinhos que acreditam em você. se ele pensa em seu carinho. se ele pensa em seu beijinho. ele acaba enforcardinho po você.. Bis (brigite, brigite não faça assim. (brigite, brigite tem dó de mim.",Erasmo Carlos,225,2.3,Rock,Rock; Jovem Guarda; Romântico; MPB; Soul Music; Psicodelia; Samba; Dance; Classic Rock; Fado; Forró; Funk; Axé; Bossa Nova
Sua Canção,"Só me diz, se é o que você sempre quis. Se isso vai te fazer pensar,. Já que não pode me ajudar. Deixa assim, deixa tudo só pra mim. Deixa eu ver no que vai dar. Porque eu só quero ser feliz. Vou esperar por você em todo lugar,. Mesmo sabendo que não vai voltar. Ilusão, que destruiu meu coração. Não me deixa mais sonhar, e me impede de chegar. Veja bem, faça o que quiser fazer. Mas não tente me prender. Eu te ensinei a libertar. Vou escutar quando sua canção tocar,. Mesmo sabendo que não vai voltar. Vou esperar por você em todo lugar,. Mesmo sabendo que não vai voltar. Vou escutar quando sua canção tocar,. Mesmo sabendo que não vai voltar. Mesmo sabendo que não vai chegar. Mesmo sabendo que não vai voltar. Mesmo sabendo que nunca vai voltar.. Gabi Biazoto",Esteban,55,0.9,Rock,Rock; Emocore; Blues; Indie; Rock Alternativo; Pop/Rock; Folk; MPB; Instrumental; Romântico; Clássico; Regional; Pop; World Music; Samba; Chillout; Gótico; Bossa Nova; Hard Rock; Axé; Hardcore
Pro Dia Nascer Feliz (Part. Ney Matogrosso),"Todo dia a insônia. Me convence que o céu. Faz tudo ficar infinito. E que a solidão. É pretensão de quem fica. Escondido, fazendo fita. Todo dia tem a hora da sessão coruja. Só entende quem namora. Agora vam'bora. Estamos, meu bem, por um triz. Pro dia nascer feliz. Pro dia nascer feliz. O mundo acordar. E a gente dormir. Pro dia nascer feliz. Essa é a vida que eu quis. O mundo inteiro acordar. E a gente dormir. Todo dia é dia. E tudo em nome do amor. Essa é a vida que eu quis. Procurando vaga. Uma hora aqui, outra ali. No vai-e-vem dos teus quadris. Nadando contra a corrente. Só pra exercitar. Todo o músculo que sente. Me dê de presente o teu bis. Pro dia nascer feliz. Pro dia nascer feliz. O mundo inteiro acordar. E a gente dormir, dormir. Pro dia nascer feliz. Essa é a vida que eu quis. O mundo inteiro acordar. E a gente dormir",Jota Quest,154,13.3,Rock,Pop/Rock; Pop; Rock; Romântico; Funk; Black Music; Trilha Sonora; Soul Music; Hip Hop; Rock Alternativo; Reggae; MPB; Rap; Dance; R&B; Axé; Jovem Guarda; Disco; Post-Rock; Country; Sertanejo; Blues; Gospel/Religioso; Punk Rock; Industrial
Milianos,"Orgia de ideias que o mundo te passa. A cidade te inspira, te rouba e te mata. Voltamos a viver como homem primata. Mas com gel no cabelo, terno e gravata. Só abrindo a cabeça, a visão não embaça. Viver pra reclamar é persona non grata. Um tiro na mente da criança que cresce. Vendo o mundo através do iPad, das luzes de led. Só manda e não pede, não é chamado e se mete. Há milianos na prisão. O mundo gira em outra direção. Não dá pra parar não. Depois de milianos na função. Triste é ver um velho aposentado. E o respeito de geral que pegou pesado, cadê?. O jeito é apelar pra quem tá do outro lado. mas quem tá do outro lado?. A fé que me mantém acordado, como diz o ditado. eu não durmo sentado. Fácil ter coragem com uma arma na mão. Mas essa arma só atira balas de ilusão. Não existe colete à prova de depressão. O Senado mata mais que polícia. Mata mais que ladrão, prende mais que a prisão. Pra que ele serve então?. Work hard, have fun, no drama",Nx Zero,122,3.4,Rock,Rock
Primavera (vai Chuva),Quando o inverno chegar. Eu quero estar junto a ti. Pode o outono voltar. Que eu quero estar junto a ti (porque). Eu (é primavera). Te amo (é primavera). Te amo (é primavera) meu amor. Trago esta rosa (para te dar). Trago esta rosa (para te dar). Trago esta rosa (para te dar). Meu amor.... Hoje o céu está tão lindo (vai chuva)(x6),Pato Fu,146,1.4,Rock,Rock; Pop/Rock; Pop; MPB; Indie; Rock Alternativo; Post-Rock; Soul Music; Psicodelia; Gospel/Religioso; Electronica
Spoc,"Não basta ser sincero. ter caráter, ser honesto. Gotta work, like Kirk e o Vulcano. Oh meu Deus, quanta luta, quanta luta. quanto treino. Insistindo e brigando. quanta força, e doendo. Oh meu Deus, oh meu Deus, oh meu Deus.... Ah, não seria mal, oh meu Deus. se eu fosse, é errado, eu sei. sustentado pelo mundo. A Etiópia é assim. Subaquistão é assim.... Il ne suffit pas d´être sincère. honête et avoir du caractère. Gotta work, like Kirk et il Vulcan. Ah mon dieu, que de lutte, que de lutte. d'entrainements, insistant, se battant. que de force, malfaisante. Ah mon dieu, ah mon dieu, ah mon dieu. Ah! Ça ne serait pas mal, ah mon dieu. Si j'étais, c'est faux, je sais. entretenue par le monde. L'Ethiopie c'est ainsi. Le Subaquistan c'est ainsi.... Spoc, Spoc, Spoc, Spoc. é que eu nasci pro trabalho. Spoc, Spoc, Spoc, Spoc. me arruma um trabalho. menos estranho...",Pato Fu,146,1.4,Rock,Rock; Pop/Rock; Pop; MPB; Indie; Rock Alternativo; Post-Rock; Soul Music; Psicodelia; Gospel/Religioso; Electronica
Querer Depois,"e depois, então que conquistar o último desafio,. quando aprender a voar,. quando eu achar que já tem tudo. o que vai querer?. o que vai querer?. o que vai querer depois?. o que vai querer depois?",Pitty,98,8.1,Rock,Rock Alternativo; Rock; Pop/Rock; Punk Rock; Hard Rock; Hardcore; Metal; Folk; Indie; Funk; Heavy Metal; Gótico; Axé; Clássico; Funk Carioca; Black Music; Electronica; Pop/Punk; Classic Rock; Trilha Sonora; Blues; Soft Rock; Romântico; MPB; Trance; K-Pop/K-Rock; Trip-Hop; World Music; Gospel/Religioso; Psicodelia; Country; Reggae; Hip Hop; Forró; Pagode; Emocore; Dance; Pop
Dia Quente,"Eu sei quem escolheu a gente. Pra ser um corpo só. Só quem me conheceu doente. Vê como estou melhor assim. O tempo vem,. Se você deixa vir.. Eu acordei,. Bem pouco tempo antes de dormir.. Tivemos um dia quente. Tão diferente de onde ia estar. Difícil de encarar de frente. Tão fácil de gostar pra sempre. Onde eu passei. Você tentava me encontrar. Eu aprendi. Que prá reviver é só lembrar. Tivemos um dia quente. Se o fogo é bom eu deixo queimar. Se você está aqui. dormindo ao lado meu. É bem verdade você é minha metade. Se você está aqui como eu pedi a Deus. Vamos mudar de ar e caminhar como um só. Hoje eu vejo na parede. Quem sempre esteve lá presente. Como eu mudei. E ainda há tanto que mudar. Vivendo aqui. Ou em qualquer outro lugar. Teremos um dia quente. E muitos ainda vão esquentar. Se você está aqui. comigo ao lado meu. É bem verdade você é minha metade. Se você está aqui como eu pedi a Deus. Vamos mudar de ar e caminhar como um só. Confesso que andei perdido. Reduzido a pó. Sem chão pra cair. Das flores que eu olhei. Você é a mais perfeita que eu já vi",Rodox,29,0.7,Rock,Rock; Gospel/Religioso; Hardcore; Punk Rock; Pop/Rock; Hard Rock; Rock Alternativo; Instrumental; Trilha Sonora; MPB; World Music; Rap
